Reguliersdwarsstraat 32, Amsterdam
Albert Cuypstraat 65, Amsterdam
Ilperveldstraat 131, Amsterdam
Bernard Zweerskade 60, Amsterdam
Tuinstraat 47, Amsterdam
De Boelelaan 94, Amsterdam
Arie Biemondstraat 9, Amsterdam
Martini van Geffenstraat 25, Amsterdam
Adamello 115, Amsterdam
Eastonstraat 44, Amsterdam
Prins Bernhardplein 20, Amsterdam
Postjeskade 14, Amsterdam
Kleine Wittenburgerstraat 172, Amsterdam
Willem Fenengastraat 46, Amsterdam
Van Boshuizenstraat 23, Amsterdam
Bankastraat 198, Amsterdam
Pieter Corneliszoon Hooftstraat 44, Amsterdam
